host,kernel,logL,BIC,AIC,n_params,convergence_gap,selected
51 Peg,sho,-831.6350090087852,1685.4507277954888,1671.2700180175705,4,5.389968049430422,False
51 Peg,matern32,-832.7193029724651,1682.074138278369,1671.4386059449303,3,4.305331544986757,True
51 Peg,rotation,-830.8731573572898,1695.017379381457,1673.7463147145795,6,4.442807819763971,False
51 Peg,sho+matern32,-828.943298751484,1691.1576621698455,1669.886597502968,6,6.244063698667674,False
HAT-P-11,sho,-203.92070738142954,423.72258241706754,415.8414147628591,4,11.902014003974699,False
HAT-P-11,matern32,-203.87727649573048,419.66542873211733,413.75455299146097,3,2.3459640599650697,False
HAT-P-11,rotation,-204.0671407414369,431.95603296418653,420.1342814828738,6,11.991502163383757,False
HAT-P-11,sho+matern32,-185.79081593642016,395.40338335415305,383.5816318728403,6,24.264879583657375,True
gam Cep,sho,-107.54190682675367,228.11619980559328,223.08381365350735,4,1.3500329987212893,False
gam Cep,matern32,-107.54266417313843,224.85961796034132,221.08532834627687,3,4.502960941796914,True
gam Cep,rotation,-102.88636816283484,225.32131555379857,217.77273632566968,6,2.8799790571898427,False
gam Cep,sho+matern32,-104.63719010061014,228.82295942934917,221.27438020122028,6,0.11990950129398925,False
