host,pl_name,split,param,space,unit,pred_phys,tab_phys,cat_sigma_phys,cp_halfwidth_cmp,bayes_halfwidth_cmp,width_ratio_cp_over_bayes,pred_minus_tab_cmp,cp_covers_tab,bayes_covers_pred,omega_near_vacuous
GJ 649,GJ 649 b,test,P,log10,dex,714.6427158518685,600.0998449514279,1.7,1.8168914350112215,0.0020237143848600998,897.8003262732275,0.07586545687337543,True,False,False
GJ 649,GJ 649 b,test,K,log10,dex,17.749168824500753,9.709999654151195,0.54,0.6535338099270667,0.03972815140191241,16.450143962540558,0.2619588058596234,True,False,False
GJ 649,GJ 649 b,test,e,linear,-,0.273660275142138,0.0829999968409538,0.0615,0.6352406866399252,0.10116135,6.2794801239794165,0.19066027830118418,True,False,False
GJ 649,GJ 649 b,test,omega,angle,rad,-2.741641449995452,0.052359877795371,41.5,3.2371369648316985,1.1914202159412712,2.7170404879140198,-2.794001327790823,True,False,True
HD 141004,HD 141004 b,val,P,log10,dex,11.997134046842495,15.50829864166709,0.0017000000000000001,1.8071518281321308,7.83084409606116e-05,23077.3567442252,-0.11148664422240495,True,False,False
HD 141004,HD 141004 b,val,K,log10,dex,20.515075067891168,3.4499999398809527,0.355,0.6558246162026625,0.07350774116943747,8.921844227140213,0.7742540229524169,False,False,False
HD 141004,HD 141004 b,val,e,linear,-,0.290716902119021,0.1599999964237213,0.10500000000000001,0.6322013678403157,0.17271450000000002,3.660383857987115,0.1307169056952997,True,True,False
HD 141004,HD 141004 b,val,omega,angle,rad,-1.147954398694137,0.340000607785179,36.955799999999996,3.025607449590703,1.0609611377417452,2.8517608628254805,-1.487955006479316,True,False,False
HD 2952,HD 2952 b,test,P,log10,dex,69.95805675877737,312.0800688904931,1.525,1.8018865786634384,0.0034908213415523297,516.1784011158129,-0.6494282956973154,True,False,False
HD 2952,HD 2952 b,test,K,log10,dex,25.95766640027834,18.42000162900802,2.48,0.6548772734800006,0.09618023380361682,6.808855079486968,0.14897598244857901,True,False,False
HD 2952,HD 2952 b,test,e,linear,-,0.6099716802128545,0.2689999938011169,0.1575,0.6343932428028332,0.25907175,2.4487163992323873,0.34097168641173764,True,False,False
HD 2952,HD 2952 b,test,omega,angle,rad,-2.3408639612918263,-2.7157323177158745,35.2,3.0030910575091223,1.0105540144851266,2.971727403447292,0.37486835642404825,True,True,False
HD 147513,HD 147513 b,val,P,log10,dex,529.1560312382387,528.4000576103695,6.3,1.791814099945268,0.008517291383414926,210.37369972269957,0.000620894219098389,True,True,False
HD 147513,HD 147513 b,val,K,log10,dex,42.68283581852947,29.299996340293607,1.8,0.6526205551680063,0.04388627810647367,14.870720036560543,0.1633856998317662,True,False,False
HD 147513,HD 147513 b,val,e,linear,-,0.4376891611737927,0.2599999904632568,0.05,0.628054645700457,0.08224500000000001,7.636386962130913,0.17768917071053592,True,False,False
HD 147513,HD 147513 b,val,omega,angle,rad,2.7192472757275317,-1.3613568273766112,9.0,2.9862003734932565,0.2583802877944925,11.557384655707116,-2.202581204075443,True,False,False
HD 173416,HD 173416 b,test,P,log10,dex,289.90005125093535,322.03006770648545,1.425,1.8409353766450416,0.003161129246960959,582.3663737934401,-0.045648131206659226,True,False,False
HD 173416,HD 173416 b,test,K,log10,dex,63.53433272226174,35.32999900952344,4.265000000000001,0.6451066601678539,0.08623810845647795,7.480528871913069,0.2548648477873052,True,False,False
HD 173416,HD 173416 b,test,e,linear,-,0.2551450181009805,0.2080000042915344,0.0915,0.625574874255649,0.15050835,4.156413077783717,0.04714501380944611,True,True,False
HD 173416,HD 173416 b,test,omega,angle,rad,-1.7993391040456566,-2.0577431809450824,33.400000000000006,3.10620174665353,0.9588779569262281,3.2394130287557625,0.258404076899426,True,True,False
HD 10647,HD 10647 b,test,P,log10,dex,1229.7519874446311,989.199938082792,8.1,1.7905810131886972,0.0058495808812972635,306.10415507095263,0.09453345260486667,True,False,False
HD 10647,HD 10647 b,test,K,log10,dex,25.89387773901555,18.10000221298143,1.7,0.6528343974158598,0.06709560995023099,9.729912253575277,0.15551846513025214,True,False,False
HD 10647,HD 10647 b,test,e,linear,-,0.6525098691722858,0.1500000059604644,0.08,0.6263269968140928,0.13159200000000001,4.759613022175305,0.5025098632118215,True,False,False
HD 10647,HD 10647 b,test,omega,angle,rad,-3.024614222881235,-2.5830872880919507,39.0,2.98512010565116,1.1196479137761344,2.66612393853664,-0.4415269347892843,True,True,False
HD 231701,HD 231701 b,val,P,log10,dex,135.32336119226926,141.62999290121132,0.067,1.8029522831940288,0.0003379429425187014,5335.078962609954,-0.019782457028644007,True,False,False
HD 231701,HD 231701 b,val,K,log10,dex,53.546445279907864,39.199997330485985,1.2,0.6662635331916186,0.021868501283608704,30.466812725342503,0.13544460772163736,True,False,False
HD 231701,HD 231701 b,val,e,linear,-,0.2848318935238781,0.1299999952316284,0.032,0.6307993158925782,0.052636800000000004,11.983998189338603,0.15483189829224972,True,False,False
HD 231701,HD 231701 b,val,omega,angle,rad,-1.0779757577262297,1.186823908690243,14.0,2.9814781333306892,0.4019248921247662,7.417998217450971,-2.2647996664164727,True,False,False
HD 206610,HD 206610 b,test,P,log10,dex,611.9539307272065,673.1999475795506,3.3,1.7750814551884224,0.00350181886720097,506.9027047099264,-0.04142534477875781,True,False,False
HD 206610,HD 206610 b,test,K,log10,dex,60.079744195659465,35.399998485561966,1.0,0.645937559387074,0.020179972424971094,32.00884251892129,0.2297248314377438,True,False,False
HD 206610,HD 206610 b,test,e,linear,-,0.2659469123256876,0.1000000014901161,0.042,0.621009752818207,0.0690858,8.988963764162925,0.1659469108355715,True,False,False
HD 206610,HD 206610 b,test,omega,angle,rad,-2.4729116332103276,-0.4537856061119552,16.0,2.9583167439795037,0.45934273385687563,6.440325547636226,-2.0191260270983724,True,False,False
HD 32518,HD 32518 b,val,P,log10,dex,105.72343836629008,157.35000125646965,0.09,1.852863464608622,0.0004086011368417182,4534.650781763181,-0.1726954717850715,True,False,False
HD 32518,HD 32518 b,val,K,log10,dex,112.50669711412776,98.88000625598076,5.74,0.7210642050153828,0.041469349130370266,17.3878833436358,0.056069889964557085,True,False,False
HD 32518,HD 32518 b,val,e,linear,-,0.1609437330799645,0.0280000008642673,0.026500000000000003,0.6312320259629911,0.043589850000000006,14.481169950412562,0.13294373221569722,True,False,False
HD 32518,HD 32518 b,val,omega,angle,rad,-1.8524473514798985,-0.6178465413825883,89.39,3.155425125531357,2.566290436216632,1.2295666464717299,-1.23460081009731,True,True,True
HD 73534,HD 73534 b,test,P,log10,dex,1654.9642473492115,1749.999558305246,24.0,1.791814099945268,0.009797090380632707,182.89247422759314,-0.02424932304249694,True,False,False
HD 73534,HD 73534 b,test,K,log10,dex,40.26606715889863,17.110000488266003,0.93,0.6526205551680063,0.038829047620921625,16.807534440179403,0.3716891916163618,True,False,False
HD 73534,HD 73534 b,test,e,linear,-,0.3012372281876426,0.1260000020265579,0.057,0.628054645700457,0.0937593,6.698585054500801,0.1752372261610847,True,False,False
HD 73534,HD 73534 b,test,omega,angle,rad,3.0662892276705818,2.932153154171508,23.0,2.9862003734932565,0.6603051799192587,4.522454865276697,0.13413607349907375,True,True,False
